"","Kinetic_key","Study key","Genus","Sub-genus","Virus","Strain","Temperature range (°C)","Temperature","Relative humidity range (RH, in %)","Relative humidity","pH","Studied matrix - fully names","Standardised matrices","Medium","Inoculum","Quantification method","Replicate","Re-transcribed tables or digitalised figures","Table or Figure of the study","References","Virus_code","nb_points","Dvalues","Dvalues_stderr","Dvalues_CV","log10D","s1","s2","s3","S"
"1","k001","Baxby1971","Orthopoxvirus",NA,"Cowpox virus","NA","56",56,100,100,"NA",NA,"Liquid culture medium","Liquid medium","107 pfu","Plaque Production in RK 13 Cells","Unique","Fig_Baxby1971_4.png","Figure 4","Baxby, D., Hill, B., 1971. Characteristics of a new poxvirus isolated from Indian buffaloes. Archiv für die gesamte Virusforschung 35(1), 70-79.","CPXV",5,11.5957280861417,0.267825171619839,0.0230968827166552,1.06429802282018,2,1,4,6
"2","k002","Baxby1971","Orthopoxvirus",NA,"Vaccinia virus","Lederle 7 N","56",56,100,100,"NA",NA,"Liquid culture medium","Liquid medium","107 pfu","Plaque Production in RK 13 Cells","Unique","Fig_Baxby1971_4.png","Figure 4","Baxby, D., Hill, B., 1971. Characteristics of a new poxvirus isolated from Indian buffaloes. Archiv für die gesamte Virusforschung 35(1), 70-79.","VACV",4,4.92451831710646,0.0480024875567939,0.00974765133679088,0.69236375717815,2,1,4,6
"3","k003","Baxby1971","Orthopoxvirus",NA,"Buffalopox virus","virus A","56",56,100,100,"NA",NA,"Liquid culture medium","Liquid medium","107 pfu","Plaque Production in RK 13 Cells","Unique","Fig_Baxby1971_4.png","Figure 4","Baxby, D., Hill, B., 1971. Characteristics of a new poxvirus isolated from Indian buffaloes. Archiv für die gesamte Virusforschung 35(1), 70-79.","BPXV",5,8.40397062503657,0.415213071809282,0.0494067733378679,0.924484525717873,2,1,4,6
"4","k004","Baxby1971","Orthopoxvirus",NA,"Buffalopox virus","virus B","56",56,100,100,"NA",NA,"Liquid culture medium","Liquid medium","107 pfu","Plaque Production in RK 13 Cells","Unique","Fig_Baxby1971_4.png","Figure 4","Baxby, D., Hill, B., 1971. Characteristics of a new poxvirus isolated from Indian buffaloes. Archiv für die gesamte Virusforschung 35(1), 70-79.","BPXV",4,6.20938467109141,0.105370880553783,0.0169696171416711,0.793048565202328,2,1,4,6
"5","k005","Baxby1971","Orthopoxvirus",NA,"Buffalopox virus","virus C","56",56,100,100,"NA",NA,"Liquid culture medium","Liquid medium","107 pfu","Plaque Production in RK 13 Cells","Unique","Fig_Baxby1971_4.png","Figure 4","Baxby, D., Hill, B., 1971. Characteristics of a new poxvirus isolated from Indian buffaloes. Archiv für die gesamte Virusforschung 35(1), 70-79.","BPXV",4,6.60691800102304,0.435747521519639,0.0659532207683168,0.819998916778924,2,1,4,6
"6","k006","Baxby1971","Orthopoxvirus",NA,"Buffalopox virus","virus D","56",56,100,100,"NA",NA,"Liquid culture medium","Liquid medium","107 pfu","Plaque Production in RK 13 Cells","Unique","Fig_Baxby1971_4.png","Figure 4","Baxby, D., Hill, B., 1971. Characteristics of a new poxvirus isolated from Indian buffaloes. Archiv für die gesamte Virusforschung 35(1), 70-79.","BPXV",4,6.24074471287675,0.420406017422258,0.0673647195590005,0.795236417470076,2,1,4,6
"7","k007","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","40",40,100,100,"4.5","0.85% saline","Liquid culture medium","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_1.jpg","Figure 1","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",5,37.6568688597293,2.23961000933783,0.059474143155139,1.57584420592295,2,1,4,6
"8","k008","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","45",40,100,100,"4.5","0.85% saline","Liquid culture medium","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_1.jpg","Figure 1","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",5,22.5289817591983,1.30741665534569,0.0580326563055556,1.35274156339029,2,1,4,6
"9","k009","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","50",40,100,100,"4.5","0.85% saline","Liquid culture medium","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_1.jpg","Figure 1","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",4,12.9576305847744,0.927348710867376,0.0715677688756647,1.11252559427878,2,1,4,6
"10","k010","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","55",40,100,100,"4.5","0.85% saline","Liquid culture medium","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_1.jpg","Figure 1","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",3,5.8479452547847,0.492559415884906,0.0842277747866914,0.767003298345118,1,1,4,5
"11","k011","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","50",50,100,100,"7.4","10% skim milk","Food (Dairy drinks)","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_4.jpg","Figure 4","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",7,80.5658215183588,4.93568724842621,0.0612627930232363,1.90615083989355,3,1,4,7
"12","k012","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","50",50,100,100,"7.4","Heart infusion broth","Liquid culture medium","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_4.jpg","Figure 4","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",6,52.1939093465607,2.18632149379452,0.0418884410301139,1.71761982691973,3,1,4,7
"13","k013","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","50",50,100,100,"7.4","Phosphate buffer saline","Liquid culture medium","Liquid medium","107 pfu","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_4.jpg","Figure 4","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",7,34.0610203854552,1.93432883220769,0.056790102302211,1.53225765422948,3,1,4,7
"14","k014","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","56",56,100,100,"7.4","Phosphate buffer saline","Liquid culture medium","Liquid medium","107 pfu stored at -60°C","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_5.jpg","Figure 4","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",7,15.3900762662102,0.9609254492457,0.062437991379904,1.18724077200251,3,1,4,7
"15","k015","Hanon1961","Orthopoxvirus",NA,"Variola virus","Yamada","56",56,100,100,"7.4","Phosphate buffer saline","Liquid culture medium","Liquid medium","107 pfu stored at 4°C","Counts on  chick chorioallantoic membrane culture","Unique","Fig_Hanon1961_5.jpg","Figure 4","Hahon, N., Kozikowski, E., 1961. Thermal inactivation studies with variola virus. Journal of Bacteriology 81(4), 609-613.","VARV",7,14.0342839075023,1.94961970258819,0.138918359884824,1.14719025787147,3,1,1,4
"16","k016","Chambers2009","Orthopoxvirus",NA,"Vaccinia virus","WR (VR-119)","56",56,100,100,"7.4","Phosphate buffered saline","Liquid culture medium","Liquid medium","1010 pfu stored at -80°C","Cellular infectivity by plaque forming units (PFU) on BSC-40 cells ","Unique","Fig_Chambers2009_3.jpg","Figure 3","Chambers, A.E., Dixon, M.M., Harvey, S.P., 2009. Studies of the suitability of fowlpox as a decontamination and thermal stability simulant for variola major. International journal of microbiology 2009.","VACV",5,15.0068352497935,2.24759919863937,0.149771698111386,1.17628911473052,2,1,1,3
"17","k017","Chambers2009","Orthopoxvirus",NA,"Vaccinia virus","WR (VR-119)","56",56,100,100,"7.4","Phosphate buffered saline","Liquid culture medium","Liquid medium","109 pfu stored at 4°C","Cellular infectivity by plaque forming units (PFU) on BSC-40 cells ","Unique","Fig_Chambers2009_3.jpg","Figure 3","Chambers, A.E., Dixon, M.M., Harvey, S.P., 2009. Studies of the suitability of fowlpox as a decontamination and thermal stability simulant for variola major. International journal of microbiology 2009.","VACV",5,26.399173712835,9.43036039237857,0.357221801521524,1.42159033377998,2,1,1,3
"18","k018","Yohn1966","Yatapoxvirus",NA,"Yaba monkey tumor virus","NA","30",30,100,100,"7.2","Phosphate buffered saline","Liquid culture medium","Liquid medium","105 ffu","Cellular infectivity by focus forming units (FFU) on BSC-1 cells ","Unique","Fig_Yohn1966_2.jpg","Figure 2","Yohn, D.S., Haendiges, V.A., Grace Jr, J.T., 1966. Yaba Tumor Poxvirus Synthesis In Vitro I. Cytopathological, Histochemical, and Immunofluorescent Studies. Journal of Bacteriology 91(5), 1977-1985","YMTV",4,971.94502375738,277.16260476613,0.28516284150997,2.98764170057027,2,1,1,3
"19","k019","Yohn1966","Yatapoxvirus",NA,"Yaba monkey tumor virus","NA","33",33,100,100,"7.2","Phosphate buffered saline","Liquid culture medium","Liquid medium","105 ffu","Cellular infectivity by focus forming units (FFU) on BSC-1 cells ","Unique","Fig_Yohn1966_2.jpg","Figure 2","Yohn, D.S., Haendiges, V.A., Grace Jr, J.T., 1966. Yaba Tumor Poxvirus Synthesis In Vitro I. Cytopathological, Histochemical, and Immunofluorescent Studies. Journal of Bacteriology 91(5), 1977-1985","YMTV",4,458.698455838691,44.8065145438827,0.0976818517122708,2.66152727812661,2,1,4,6
